,Unnamed: 0,iso,language_name,track,location,year,path,filename,length,program,ID,no_segs,segs,segs_0,segs_1,segs_2,segs_3
3382,3394,rmq,Chibe,1,"TIB - Chapada dos Gimar�es - MT, Brazil",2017.0,Programs/65/65445/A65445/PM-1701/,A65445-001.wav,238.581063,65445,65445_001,False,"{3: 2, 0: 1, 1: 1, 2: 1}",1,1,1,2
3383,3395,rmq,Chibe,2,"TIB - Chapada dos Gimar�es - MT, Brazil",2017.0,Programs/65/65445/A65445/PM-1701/,A65445-002.wav,282.1,65445,65445_002,False,"{3: 2, 0: 1, 1: 1, 2: 1}",1,1,1,2
3384,3396,rmq,Chibe,3,"TIB - Chapada dos Gimar�es - MT, Brazil",2017.0,Programs/65/65445/A65445/PM-1701/,A65445-003.wav,300.1,65445,65445_003,False,"{3: 38, 0: 1, 1: 1, 2: 1}",1,1,1,38
3385,3397,rmq,Chibe,4,"TIB - Chapada dos Gimar�es - MT, Brazil",2017.0,Programs/65/65445/A65445/PM-1701/,A65445-004.wav,207.1,65445,65445_004,False,"{3: 24, 2: 2, 0: 1, 1: 1}",1,1,2,24
3386,3398,rmq,Chibe,5,"TIB - Chapada dos Gimar�es - MT, Brazil",2017.0,Programs/65/65445/A65445/PM-1701/,A65445-005.wav,268.985063,65445,65445_005,False,"{3: 4, 0: 1, 1: 1, 2: 1}",1,1,1,4
3387,3399,rmq,Chibe,6,"TIB - Chapada dos Gimar�es - MT, Brazil",2017.0,Programs/65/65445/A65445/PM-1701/,A65445-006.wav,244.318104,65445,65445_006,False,"{3: 31, 0: 1, 1: 1, 2: 1}",1,1,1,31
3388,3400,rmq,Chibe,7,"TIB - Chapada dos Gimar�es - MT, Brazil",2017.0,Programs/65/65445/A65445/PM-1701/,A65445-007.wav,209.1,65445,65445_007,False,"{3: 30, 0: 1, 1: 1, 2: 1}",1,1,1,30
3787,3799,jge,Judeo-Georgian,1,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-001.wav,8.146083,65900,65900_001,False,{3: 1},0,0,0,1
3788,3800,jge,Judeo-Georgian,2,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-002.wav,5.517694,65900,65900_002,False,"{0: 1, 1: 1, 2: 1, 3: 1}",1,1,1,1
3789,3801,jge,Judeo-Georgian,3,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-003.wav,6.491042,65900,65900_003,False,{},0,0,0,0
3790,3802,jge,Judeo-Georgian,4,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-004.wav,15.088361,65900,65900_004,False,"{3: 2, 0: 1, 1: 1, 2: 1}",1,1,1,2
3791,3803,jge,Judeo-Georgian,5,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-005.wav,16.283833,65900,65900_005,False,"{2: 2, 3: 2}",0,0,2,2
3792,3804,jge,Judeo-Georgian,6,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-006.wav,10.959819,65900,65900_006,False,"{2: 2, 3: 2, 0: 1, 1: 1}",1,1,2,2
3793,3805,jge,Judeo-Georgian,7,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-007.wav,15.174167,65900,65900_007,False,"{2: 2, 3: 2}",0,0,2,2
3794,3806,jge,Judeo-Georgian,8,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-008.wav,16.821167,65900,65900_008,False,"{3: 2, 0: 1, 1: 1, 2: 1}",1,1,1,2
3795,3807,jge,Judeo-Georgian,9,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-009.wav,4.066,65900,65900_009,False,{},0,0,0,0
3796,3808,jge,Judeo-Georgian,10,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-010.wav,17.665542,65900,65900_010,False,"{3: 3, 2: 1}",0,0,1,3
3797,3809,jge,Judeo-Georgian,11,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-011.wav,9.473375,65900,65900_011,False,"{2: 1, 3: 1}",0,0,1,1
3798,3810,jge,Judeo-Georgian,12,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-012.wav,10.882986,65900,65900_012,False,{3: 1},0,0,0,1
3799,3811,jge,Judeo-Georgian,13,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-013.wav,6.673125,65900,65900_013,False,{3: 1},0,0,0,1
3800,3812,jge,Judeo-Georgian,14,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-014.wav,5.315319,65900,65900_014,False,{3: 1},0,0,0,1
3801,3813,jge,Judeo-Georgian,15,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-015.wav,7.676917,65900,65900_015,False,{3: 1},0,0,0,1
3802,3814,jge,Judeo-Georgian,16,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-016.wav,15.341833,65900,65900_016,False,"{3: 2, 0: 1, 1: 1, 2: 1}",1,1,1,2
3803,3815,jge,Judeo-Georgian,17,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-017.wav,9.934486,65900,65900_017,False,"{2: 1, 3: 1}",0,0,1,1
3804,3816,jge,Judeo-Georgian,18,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-018.wav,12.491444,65900,65900_018,False,{3: 2},0,0,0,2
3805,3817,jge,Judeo-Georgian,19,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-019.wav,10.563208,65900,65900_019,False,"{0: 1, 1: 1, 2: 1, 3: 1}",1,1,1,1
3806,3818,jge,Judeo-Georgian,20,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-020.wav,11.108167,65900,65900_020,False,"{3: 2, 2: 1}",0,0,1,2
3807,3819,jge,Judeo-Georgian,21,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-021.wav,10.395542,65900,65900_021,False,"{0: 1, 1: 1, 2: 1, 3: 1}",1,1,1,1
3808,3820,jge,Judeo-Georgian,22,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-022.wav,14.168153,65900,65900_022,False,"{3: 2, 0: 1, 1: 1, 2: 1}",1,1,1,2
3809,3821,jge,Judeo-Georgian,23,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-023.wav,9.811319,65900,65900_023,False,"{0: 1, 1: 1, 2: 1, 3: 1}",1,1,1,1
3810,3822,jge,Judeo-Georgian,24,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-024.wav,13.885319,65900,65900_024,False,"{3: 2, 0: 1, 1: 1, 2: 1}",1,1,1,2
3811,3823,jge,Judeo-Georgian,25,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-025.wav,14.495319,65900,65900_025,False,"{3: 2, 2: 1}",0,0,1,2
3812,3824,jge,Judeo-Georgian,26,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-026.wav,12.842069,65900,65900_026,False,"{0: 1, 1: 1, 2: 1, 3: 1}",1,1,1,1
3813,3825,jge,Judeo-Georgian,27,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-027.wav,7.314611,65900,65900_027,False,{3: 1},0,0,0,1
3814,3826,jge,Judeo-Georgian,28,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-028.wav,22.138333,65900,65900_028,False,"{3: 3, 0: 1, 1: 1, 2: 1}",1,1,1,3
3815,3827,jge,Judeo-Georgian,29,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-029.wav,15.929375,65900,65900_029,False,"{2: 3, 3: 3, 0: 2, 1: 2}",2,2,3,3
3816,3828,jge,Judeo-Georgian,30,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-030.wav,15.00425,65900,65900_030,False,"{2: 2, 3: 2, 0: 1, 1: 1}",1,1,2,2
3817,3829,jge,Judeo-Georgian,31,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-031.wav,10.529486,65900,65900_031,False,"{0: 1, 1: 1, 2: 1, 3: 1}",1,1,1,1
3818,3830,jge,Judeo-Georgian,32,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-032.wav,13.305667,65900,65900_032,False,"{2: 2, 3: 2, 0: 1, 1: 1}",1,1,2,2
3819,3831,jge,Judeo-Georgian,33,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-033.wav,10.99875,65900,65900_033,False,"{3: 2, 0: 1, 1: 1, 2: 1}",1,1,1,2
3820,3832,jge,Judeo-Georgian,34,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-034.wav,10.4725,65900,65900_034,False,"{0: 1, 1: 1, 2: 1, 3: 1}",1,1,1,1
3821,3833,jge,Judeo-Georgian,35,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-035.wav,10.597208,65900,65900_035,False,"{3: 2, 2: 1}",0,0,1,2
3822,3834,jge,Judeo-Georgian,36,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-036.wav,9.680792,65900,65900_036,False,"{0: 1, 1: 1, 2: 1, 3: 1}",1,1,1,1
3823,3835,jge,Judeo-Georgian,37,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-037.wav,17.691833,65900,65900_037,False,"{3: 3, 2: 2, 0: 1, 1: 1}",1,1,2,3
3824,3836,jge,Judeo-Georgian,38,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-038.wav,4.933917,65900,65900_038,False,"{0: 1, 1: 1, 2: 1, 3: 1}",1,1,1,1
3825,3837,jge,Judeo-Georgian,39,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-039.wav,16.947,65900,65900_039,False,"{0: 2, 1: 2, 2: 2, 3: 2}",2,2,2,2
3826,3838,jge,Judeo-Georgian,40,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-040.wav,21.151569,65900,65900_040,False,"{2: 3, 3: 3, 1: 2, 0: 1}",1,2,3,3
3827,3839,jge,Judeo-Georgian,41,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-041.wav,12.828236,65900,65900_041,False,"{3: 2, 0: 1, 1: 1, 2: 1}",1,1,1,2
3828,3840,jge,Judeo-Georgian,42,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-042.wav,11.996236,65900,65900_042,False,"{0: 2, 1: 2, 2: 2, 3: 2}",2,2,2,2
3829,3841,jge,Judeo-Georgian,43,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-043.wav,21.554528,65900,65900_043,False,"{2: 4, 3: 4, 0: 1, 1: 1}",1,1,4,4
3830,3842,jge,Judeo-Georgian,44,"Tiblisi, Georgia",2018.0,Programs/65/65900/A65900/PM-1901/,A65900-044.wav,10.665111,65900,65900_044,False,"{0: 1, 1: 1, 2: 1, 3: 1}",1,1,1,1
4969,4983,pau,Palau,1,U.S.A.,1963.0,Programs/03/03860/A03860/PM-0903/,A03860-01.wav,199.189333,3860,03860_001,False,"{3: 27, 2: 18, 1: 5, 0: 4}",4,5,18,27
4970,4984,pau,Palau,2,U.S.A.,1963.0,Programs/03/03860/A03860/PM-0903/,A03860-02.wav,207.877292,3860,03860_002,False,"{3: 32, 2: 18, 0: 7, 1: 7}",7,7,18,32
6080,6096,bsy,"Bisaya, Sabah",1,,1953.0,Programs/05/05170/A05170/PM-Copy-0910/,A05170-01.wav,200.533333,5170,05170_001,False,"{3: 29, 2: 20, 1: 3, 0: 1}",1,3,20,29
6081,6097,bsy,"Bisaya, Sabah",2,,1953.0,Programs/05/05170/A05170/PM-Copy-0910/,A05170-02.wav,194.709333,5170,05170_002,False,"{3: 28, 2: 17, 1: 2, 0: 1}",1,2,17,28
6082,6098,bsy,"Bisaya, Sabah",3,,1953.0,Programs/05/05170/A05170/PM-Copy-0910/,A05170-03.wav,198.368,5170,05170_003,False,"{3: 32, 2: 19, 0: 4, 1: 4}",4,4,19,32
6083,6099,bsy,"Bisaya, Sabah",4,,1953.0,Programs/05/05170/A05170/PM-Copy-0910/,A05170-04.wav,211.791111,5170,05170_004,False,"{3: 23, 2: 10, 0: 2, 1: 2}",2,2,10,23
6814,6840,dtd,Nootka: Nitinat,7,Canada,1982.0,Programs/06/06150/A06150/From_CM/,C06150A Region 00_18_08_597 to 00_18_55_701 (07 _ 08).wav,47.104,6150,06150_007,True,"{3: 6, 0: 1, 1: 1, 2: 1}",1,1,1,6
6818,6844,dtd,Nootka: Nitinat,11,Canada,1982.0,Programs/06/06150/A06150/From_CM/,C06150B Region 00_00_00_000 to 00_00_34_901 (01 _ 02).wav,34.901333,6150,06150_011,True,"{3: 2, 0: 1, 1: 1, 2: 1}",1,1,1,2
6819,6845,dtd,Nootka: Nitinat,12,Canada,1982.0,Programs/06/06150/A06150/From_CM/,C06150B Region 00_00_34_901 to 00_03_48_522 (02 _ 03).wav,193.621333,6150,06150_012,True,"{3: 23, 2: 2, 0: 1, 1: 1}",1,1,2,23
6820,6846,dtd,Nootka: Nitinat,13,Canada,1982.0,Programs/06/06150/A06150/From_CM/,C06150B Region 00_03_48_522 to 00_04_22_655 (03 _ 04).wav,34.133333,6150,06150_013,True,"{3: 4, 0: 1, 1: 1, 2: 1}",1,1,1,4
6822,6848,dtd,Nootka: Nitinat,15,Canada,1982.0,Programs/06/06150/A06150/From_CM/,C06150B Region 00_07_40_885 to 00_09_54_431 (05 _ 06).wav,133.546667,6150,06150_015,True,"{3: 15, 2: 5, 0: 1, 1: 1}",1,1,5,15
6828,6854,dtd,Nootka: Nitinat,21,Canada,1982.0,Programs/06/06150/A06150/From_CM/,C06150B Region 00_25_22_517 to 00_25_56_821 (11 _ 12).wav,34.304,6150,06150_021,True,"{3: 3, 0: 1, 1: 1, 2: 1}",1,1,1,3
6829,6855,dtd,Nootka: Nitinat,22,Canada,1982.0,Programs/06/06150/A06150/From_CM/,C06150B Region 00_25_56_821 to 00_28_09_599 (12 _ 13).wav,132.778667,6150,06150_022,True,"{3: 11, 2: 3, 0: 1, 1: 1}",1,1,3,11
6830,6856,dtd,Nootka: Nitinat,23,Canada,1982.0,Programs/06/06150/A06150/From_CM/,C06150B Region 00_28_09_600 to 00_28_59_326 (13 _ 14).wav,49.726667,6150,06150_023,True,"{3: 6, 0: 1, 1: 1, 2: 1}",1,1,1,6
9921,9949,sos,Samoga,1,,1957.0,Programs/12/12551/A12551/From_CM/,C12551A Region 00_00_00_000 to 00_03_17_546 (01 _ 02).wav,197.546667,12551,12551_001,False,"{3: 24, 2: 6, 0: 5, 1: 5}",5,5,6,24
9922,9950,sos,Samoga,2,,1957.0,Programs/12/12551/A12551/From_CM/,C12551A Region 00_03_17_546 to 00_06_30_132 (02 _ 03).wav,192.586167,12551,12551_002,False,"{3: 16, 2: 5, 0: 4, 1: 4}",4,4,5,16
11741,11803,mae,Barukul,1,"Jos, Nigeria",1990.0,Programs/30/30210/A30210/From_CM/,C30210 Region 00_00_00_000 to 00_02_01_215 (01 _ 02).wav,121.216,30210,30210_001,True,"{3: 6, 0: 1, 1: 1, 2: 1}",1,1,1,6
11742,11804,mae,Barukul,2,"Jos, Nigeria",1990.0,Programs/30/30210/A30210/From_CM/,C30210 Region 00_02_01_216 to 00_04_00_533 (02 _ 03).wav,119.317333,30210,30210_002,True,"{3: 10, 0: 1, 1: 1, 2: 1}",1,1,1,10
11743,11805,mae,Barukul,3,"Jos, Nigeria",1990.0,Programs/30/30210/A30210/From_CM/,C30210 Region 00_04_00_533 to 00_07_06_602 (03 _ 04).wav,186.069333,30210,30210_003,True,"{3: 19, 0: 1, 1: 1, 2: 1}",1,1,1,19
19259,19392,smh,Samei,1,Kunming,1999.0,Programs/29/29011/C29011/PM-Clone/,C29011.wav,3246.523208,29011,29011_001,True,{},0,0,0,0
22315,22448,chb,Muisca,1,Cota Cundinamarca,2010.0,Programs/38/38203/A38203/PM-1207/,A38203-01.wav,22.709028,38203,38203_001,False,"{3: 4, 2: 3, 0: 1, 1: 1}",1,1,3,4
22316,22449,chb,Muisca,2,Cota Cundinamarca,2010.0,Programs/38/38203/A38203/PM-1207/,A38203-02.wav,301.99125,38203,38203_002,False,"{3: 34, 2: 19, 1: 3, 0: 2}",2,3,19,34
22317,22450,chb,Muisca,3,Cota Cundinamarca,2010.0,Programs/38/38203/A38203/PM-1207/,A38203-03.wav,33.383861,38203,38203_003,False,"{3: 4, 2: 3, 0: 2, 1: 2}",2,2,3,4
22318,22451,chb,Muisca,4,Cota Cundinamarca,2010.0,Programs/38/38203/A38203/PM-1207/,A38203-04.wav,270.189861,38203,38203_004,False,"{3: 27, 2: 13, 1: 2, 0: 1}",1,2,13,27
23071,23217,mep,Miriwung,1,,1954.0,Programs/57/57030/A57030/From_CM/,C57030A Region 00_00_00_000 to 00_03_44_511 (01 _ 02).wav,224.512,57030,57030_001,False,"{3: 18, 2: 8, 1: 2, 0: 1}",1,2,8,18
23072,23218,mep,Miriwung,2,,1954.0,Programs/57/57030/A57030/From_CM/,C57030A Region 00_03_44_512 to 00_07_35_978 (02 _ 03).wav,231.466667,57030,57030_002,False,"{3: 37, 2: 5, 1: 2, 0: 1}",1,2,5,37
23073,23219,mep,Miriwung,3,,1954.0,Programs/57/57030/A57030/From_CM/,C57030A Region 00_07_35_978 to 00_09_40_095 (03 _ 04).wav,124.117333,57030,57030_003,False,"{3: 18, 2: 13, 1: 4, 0: 2}",2,4,13,18
23074,23220,mep,Miriwung,4,,1954.0,Programs/57/57030/A57030/From_CM/,C57030A Region 00_09_40_096 to 00_11_01_887 (04 _ 05).wav,81.792,57030,57030_004,False,"{3: 7, 2: 4, 1: 3, 0: 1}",1,3,4,7
23075,23221,mep,Miriwung,5,,1954.0,Programs/57/57030/A57030/From_CM/,C57030A Region 00_11_01_888 to 00_14_42_858 (05 _ 06).wav,220.970667,57030,57030_005,False,"{3: 34, 2: 2, 0: 1, 1: 1}",1,1,2,34
23076,23222,mep,Miriwung,6,,1954.0,Programs/57/57030/A57030/From_CM/,C57030A Region 00_14_42_858 to 00_18_33_002 (06 _ 07).wav,230.143979,57030,57030_006,False,"{3: 27, 2: 5, 0: 1, 1: 1}",1,1,5,27
23077,23223,mep,Miriwung,7,,1954.0,Programs/57/57030/A57030/From_CM/,C57030A Region 00_18_33_002 to 00_22_14_357 (07 _ 08).wav,221.354688,57030,57030_007,False,"{3: 31, 2: 14}",0,0,14,31
23078,23224,mep,Miriwung,8,,1954.0,Programs/57/57030/A57030/From_CM/,C57030A Region 00_22_14_357 to 00_25_47_051 (08 _ 09).wav,212.693979,57030,57030_008,False,"{2: 21, 3: 10, 0: 1, 1: 1}",1,1,21,10
23947,24105,ulk,Meriam,8,Darwin NT,1987.0,Programs/62/62499/A62499/PM/,A62499-08_Meriba_Ad.wav,126.518458,62499,62499_008,False,"{2: 5, 3: 4, 0: 1, 1: 1}",1,1,5,4
23959,24117,ulk,Meriam,20,Darwin NT,1987.0,Programs/62/62499/A62499/PM/,A62499-20_Memeg_Le_Adira.wav,161.544375,62499,62499_020,False,"{2: 19, 1: 5, 3: 4, 0: 2}",2,5,19,4
24121,24279,ngk,Kunwinjku: Dangbon,21,Darwin NT,1990.0,Programs/62/62620/A62620/PM/,A62620-21_Prayer_Song.wav,159.837854,62620,62620_021,True,"{3: 12, 0: 1, 1: 1, 2: 1}",1,1,1,12
25341,25539,mrl,Mortlockese,1,,1987.0,Programs/63/63590/A63590/PM-1106/,A63590-01.wav,246.0,63590,63590_001,True,"{3: 21, 0: 1, 1: 1, 2: 1}",1,1,1,21
25342,25540,mrl,Mortlockese,2,,1987.0,Programs/63/63590/A63590/PM-1106/,A63590-02.wav,131.12,63590,63590_002,True,"{3: 8, 0: 1, 1: 1, 2: 1}",1,1,1,8
25343,25541,tkl,Tokelauan,3,,1987.0,Programs/63/63590/A63590/PM-1106/,A63590-03.wav,163.053333,63590,63590_003,True,"{3: 5, 0: 1, 1: 1, 2: 1}",1,1,1,5
25344,25542,mrl,Mortlockese,4,,1987.0,Programs/63/63590/A63590/PM-1106/,A63590-04.wav,104.946667,63590,63590_004,True,"{3: 14, 0: 1, 1: 1, 2: 1}",1,1,1,14
25345,25543,mrl,Mortlockese,5,,1987.0,Programs/63/63590/A63590/PM-1106/,A63590-05.wav,135.426667,63590,63590_005,True,"{3: 4, 0: 1, 1: 1, 2: 1}",1,1,1,4
25346,25544,mrl,Mortlockese,6,,1987.0,Programs/63/63590/A63590/PM-1106/,A63590-06.wav,143.067333,63590,63590_006,True,"{3: 10, 1: 1, 2: 1}",0,1,1,10
25622,25820,arx,Arua,1,Village S�o Luiz,2011.0,Programs/63/63700/A63700/PM-1208/,A63700-01.wav,65.639,63700,63700_001,False,"{2: 9, 3: 9, 0: 7, 1: 7}",7,7,9,9
25623,25821,arx,Arua,2,Village S�o Luiz,2011.0,Programs/63/63700/A63700/PM-1208/,A63700-02.wav,72.154083,63700,63700_002,False,"{3: 11, 0: 1, 1: 1, 2: 1}",1,1,1,11
25624,25822,arx,Arua,3,Village S�o Luiz,2011.0,Programs/63/63700/A63700/PM-1208/,A63700-03.wav,68.084417,63700,63700_003,False,"{3: 8, 2: 3, 0: 1, 1: 1}",1,1,3,8
25625,25823,arx,Arua,4,Village S�o Luiz,2011.0,Programs/63/63700/A63700/PM-1208/,A63700-04.wav,60.993729,63700,63700_004,False,"{3: 8, 2: 3, 0: 1, 1: 1}",1,1,3,8
25626,25824,arx,Arua,5,Village S�o Luiz,2011.0,Programs/63/63700/A63700/PM-1208/,A63700-05.wav,70.172896,63700,63700_005,False,"{3: 7, 0: 1, 1: 1, 2: 1}",1,1,1,7
25627,25825,arx,Arua,6,Village S�o Luiz,2011.0,Programs/63/63700/A63700/PM-1208/,A63700-06.wav,69.461396,63700,63700_006,False,"{3: 8, 2: 7, 0: 1, 1: 1}",1,1,7,8
25628,25826,arx,Arua,7,Village S�o Luiz,2011.0,Programs/63/63700/A63700/PM-1208/,A63700-07.wav,68.114833,63700,63700_007,False,"{3: 9, 2: 5, 0: 1, 1: 1}",1,1,5,9
25629,25827,arx,Arua,8,Village S�o Luiz,2011.0,Programs/63/63700/A63700/PM-1208/,A63700-08.wav,84.642229,63700,63700_008,False,"{3: 10, 2: 2, 0: 1, 1: 1}",1,1,2,10
25630,25828,arx,Arua,9,Village S�o Luiz,2011.0,Programs/63/63700/A63700/PM-1208/,A63700-09.wav,100.907063,63700,63700_009,False,"{3: 16, 2: 12, 0: 1, 1: 1}",1,1,12,16
25631,25829,arx,Arua,10,Village S�o Luiz,2011.0,Programs/63/63700/A63700/PM-1208/,A63700-10.wav,111.916,63700,63700_010,False,"{3: 14, 0: 1, 1: 1, 2: 1}",1,1,1,14
25632,25830,arx,Arua,11,Village S�o Luiz,2011.0,Programs/63/63700/A63700/PM-1208/,A63700-11.wav,93.392479,63700,63700_011,False,"{3: 11, 2: 2, 0: 1, 1: 1}",1,1,2,11
25633,25831,arx,Arua,12,Village S�o Luiz,2011.0,Programs/63/63700/A63700/PM-1208/,A63700-12.wav,80.260875,63700,63700_012,False,"{3: 11, 2: 7, 0: 1, 1: 1}",1,1,7,11
25634,25832,arx,Arua,13,Village S�o Luiz,2011.0,Programs/63/63700/A63700/PM-1208/,A63700-13.wav,69.741688,63700,63700_013,False,"{3: 8, 0: 1, 1: 1, 2: 1}",1,1,1,8
25635,25833,arx,Arua,14,Village S�o Luiz,2011.0,Programs/63/63700/A63700/PM-1208/,A63700-14.wav,94.836,63700,63700_014,False,"{3: 14, 2: 6, 1: 2, 0: 1}",1,2,6,14
25636,25834,arx,Arua,15,Village S�o Luiz,2011.0,Programs/63/63700/A63700/PM-1208/,A63700-15.wav,92.2015,63700,63700_015,False,"{3: 12, 2: 8, 1: 3, 0: 1}",1,3,8,12
25637,25835,arx,Arua,16,Village S�o Luiz,2011.0,Programs/63/63700/A63700/PM-1208/,A63700-16.wav,62.18125,63700,63700_016,False,"{3: 8, 2: 3, 0: 1, 1: 1}",1,1,3,8
26953,27151,dso,Desiya,3,"KOLKATA , INDIA",2013.0,Programs/64/64201/A64201/PM-1310/,A64201-03.wav,357.4,64201,64201_003,False,"{0: 1, 1: 1, 2: 1, 3: 1}",1,1,1,1
